OlinkID	UniProt	Assay
OID20260	P48960	ADGRE5
OID20261	P04066	FUCA1
OID20262	Q9NNX6	CD209
OID20263	P02144	MB
OID20264	Q9UBP4	DKK3
OID20265	O14798	TNFRSF10C
OID20266	P48304	REG1B
OID20267	P01589	IL2RA
OID20268	P09619	PDGFRB
OID20269	P08581	MET
OID20270	Q96AP7	ESAM
OID20271	P07451	CA3
OID20272	Q9Y275	TNFSF13B
OID20273	Q13740	ALCAM
OID20274	P14555	PLA2G2A
OID20275	P08118	MSMB
OID20276	P07858	CTSB
OID20277	P32942	ICAM3
OID20278	Q07507	DPT
OID20279	Q9NQ79	CRTAC1
OID20280	P15085	CPA1
OID20281	Q86U17	SERPINA11
OID20282	Q9H2A7	CXCL16
OID20283	O75326	SEMA7A
OID20284	P17931	LGALS3
OID20285	Q9H1U4	MEGF9
OID20286	P31146	CORO1A
OID20287	P17813	ENG
OID20288	Q13822	ENPP2
OID20289	P15086	CPB1
OID20290	P16581	SELE
OID20291	P19021	PAM
OID20292	P12111	COL6A3
OID20293	Q15828	CST6
OID20294	P04080	CSTB
OID20295	P80370	DLK1
OID20296	P08236	GUSB
OID20297	Q14162	SCARF1
OID20298	P09093	CELA3A
OID20299	P48745	CCN3
OID20300	Q9Y4L1	HYOU1
OID20301	Q8N423	LILRB2
OID20302	P15907	ST6GAL1
OID20303	P35590	TIE1
OID20305	P42574	CASP3
OID20306	Q13332	PTPRS
OID20307	Q12860	CNTN1
OID20308	Q8TDL5	BPIFB1
OID20309	P20160	AZU1
OID20310	P10586	PTPRF
OID20311	P46531	NOTCH1
OID20313	P04085	PDGFA
OID20314	P13686	ACP5
OID20315	P05107	ITGB2
OID20316	P25445	FAS
OID20317	O15031	PLXNB2
OID20318	Q14393	GAS6
OID20319	P00533	EGFR
OID20320	Q16769	QPCT
OID20321	O00584	RNASET2
OID20322	P10451	SPP1
OID20323	Q8NHL6	LILRB1
OID20324	O75023	LILRB5
OID20325	P18065	IGFBP2
OID20326	P19957	PI3
OID20327	Q9HD89	RETN
OID20328	Q16663	CCL15
OID20329	P24158	PRTN3
OID20330	Q12884	FAP
OID20331	P23284	PPIB
OID20332	P39060	COL18A1
OID20333	P04746	AMY2A
OID20334	O15467	CCL16
OID20335	P02452	COL1A1
OID20336	Q13867	BLMH
OID20337	P42785	PRCP
OID20339	P13987	CD59
OID20340	P19961	AMY2B
OID20341	P20062	TCN2
OID20342	P05121	SERPINE1
OID20343	P43121	MCAM
OID20345	Q6EMK4	VASN
OID20346	Q13508	ART3
OID20347	Q96KN2	CNDP1
OID20348	O95998	IL18BP
OID20349	P00740	F9
OID20350	P15144	ANPEP
OID20351	A1L4H1	SSC5D
OID20352	Q06033	ITIH3
OID20353	P12830	CDH1
OID20354	P13591	NCAM1
OID20355	P18428	LBP
OID20356	Q99650	OSMR
OID20357	Q12794	HYAL1
OID20358	P07339	CTSD
OID20359	P24821	TNC
OID20360	Q86VB7	CD163
OID20361	Q14515	SPARCL1
OID20362	P14543	NID1
OID20363	P30530	AXL
OID20364	P07478	PRSS2
OID20365	Q9UBR2	CTSZ
OID20366	O00533	CHL1
OID20367	Q9BXJ1	C1QTNF1
OID20368	P35443	THBS4
OID20369	P02786	TFRC
OID20370	P10721	KIT
OID20371	Q07654	TFF3
OID20372	P08709	F7
OID20373	Q99969	RARRES2
OID20374	O95445	APOM
OID20375	Q96H15	TIMD4
OID20376	P05556	ITGB1
OID20377	P08174	CD55
OID20378	P08571	CD14
OID20379	P16109	SELP
OID20380	P15529	CD46
OID20381	P07359	GP1BA
OID20382	Q15485	FCN2
OID20383	P98160	HSPG2
OID20384	Q15113	PCOLCE
OID20385	P08887	IL6R
OID20386	P00441	SOD1
OID20387	O75015	FCGR3B
OID20388	P10646	TFPI
OID20389	Q16853	AOC3
OID20390	O14786	NRP1
OID20391	P12318	FCGR2A
OID20392	P80188	LCN2
OID20393	P20023	CR2
OID20394	Q9NZK5	ADA2
OID20395	P55774	CCL18
OID20396	P19320	VCAM1
OID20397	Q9NPY3	CD93
OID20398	P17936	IGFBP3
OID20399	P36222	CHI3L1
OID20400	P01034	CST3
OID20401	Q16627	CCL14
OID20402	P04070	PROC
OID20403	P03950	ANG
OID20404	Q9UGM5	FETUB
OID20405	P49747	COMP
OID20406	P27487	DPP4
OID20407	Q9Y5C1	ANGPTL3
OID20408	P41222	PTGDS
OID20409	P00915	CA1
OID20410	P06681	C2
OID20411	P05362	ICAM1
OID20412	P13501	CCL5
OID20413	P24592	IGFBP6
OID20414	Q12805	EFEMP1
OID20415	P05451	REG1A
OID20416	Q92820	GGH
OID20417	Q15582	TGFBI
OID20418	P01033	TIMP1
OID20419	P60568	IL2
OID20420	Q13651	IL10RA
OID20421	Q13219	PAPPA
OID20422	Q9UHF4	IL20RA
OID20423	P63241	EIF5A
OID20424	P05412	JUN
OID20425	Q96AX2	RAB37
OID20427	P01584	IL1B
OID20428	O95760	IL33
OID20429	Q8NHJ6	LILRB4
OID20430	P35225	IL13
OID20431	P22301	IL10
OID20432	P27540	ARNT
OID20433	O95379	TNFAIP8
OID20434	Q8WV07	LTO1
OID20435	O43707	ACTN4
OID20436	P28838	LAP3
OID20437	Q9NP70	AMBN
OID20438	Q6UXK5	LRRN1
OID20439	Q9HCU5	PREB
OID20440	Q13007	IL24
OID20441	Q9UPV0	CEP164
OID20442	O60934	NBN
OID20443	Q96P31	FCRL3
OID20444	Q9Y478	PRKAB1
OID20445	Q8TCS8	PNPT1
OID20446	Q5T4W7	ARTN
OID20447	Q5R372	RABGAP1L
OID20448	Q969V3	NCLN
OID20449	Q8N6P7	IL22RA1
OID20450	P14784	IL2RB
OID20451	Q13459	MYO9B
OID20452	P19801	AOC1
OID20453	Q9NYY1	IL20
OID20454	P57771	RGS8
OID20455	P20809	IL11
OID20456	Q96PD4	IL17F
OID20457	O76038	SCGN
OID20458	O95715	CXCL14
OID20459	Q03426	MVK
OID20460	O14904	WNT9A
OID20461	P26951	IL3RA
OID20462	Q9Y3P8	SIT1
OID20463	Q96DB9	FXYD5
OID20464	P48061	CXCL12
OID20465	Q99748	NRTN
OID20466	Q13574	DGKZ
OID20467	Q9Y2J8	PADI2
OID20468	Q04759	PRKCQ
OID20469	Q16552	IL17A
OID20470	Q12968	NFATC3
OID20471	Q14435	GALNT3
OID20472	P05113	IL5
OID20473	P01375	TNF
OID20474	Q92844	TANK
OID20475	O43597	SPRY2
OID20476	P13693	TPT1
OID20477	Q9P0M4	IL17C
OID20478	Q7Z739	YTHDF3
OID20479	P42768	WAS
OID20480	Q96RJ3	TNFRSF13C
OID20481	Q8TAD2	IL17D
OID20482	Q7Z6M3	MILR1
OID20483	P30048	PRDX3
OID20484	Q05084	ICA1
OID20485	P51617	IRAK1
OID20486	P42701	IL12RB1
OID20487	Q9HB29	IL1RL2
OID20488	P01583	IL1A
OID20489	P32456	GBP2
OID20490	P12034	FGF5
OID20491	P09919	CSF3
OID20492	Q9BXJ7	AMN
OID20493	P18564	ITGB6
OID20494	P01591	JCHAIN
OID20495	P01579	IFNG
OID20496	Q13291	SLAMF1
OID20497	Q8N8S7	ENAH
OID20498	Q13261	IL15RA
OID20500	P09874	PARP1
OID20501	Q0Z7S8	FABP9
OID20502	P78362	SRPK2
OID20503	P09038	FGF2
OID20504	O43736	ITM2A
OID20505	O14867	BACH1
OID20506	Q8IU57	IFNLR1
OID20507	Q12933	TRAF2
OID20508	Q06520	SULT2A1
OID20509	O60575	SPINK4
OID20510	Q9Y5A7	NUB1
OID20511	O60542	PSPN
OID20512	P30838	ALDH3A1
OID20514	O60880	SH2D1A
OID20515	Q12778	FOXO1
OID20516	Q7L8A9	VASH1
OID20519	Q6UB28	METAP1D
OID20520	P01903	HLA-DRA
OID20521	Q92609	TBC1D5
OID20522	P01588	EPO
OID20523	P80098	CCL7
OID20524	Q9UN19	DAPP1
OID20525	Q9UNE0	EDAR
