OlinkID	UniProt	Assay
OID20969	Q06323	PSME1
OID20970	Q6UX15	LAYN
OID20971	O76070	SNCG
OID20972	O95817	BAG3
OID20973	O14618	CCS
OID20974	O60242	ADGRB3
OID20975	P50135	HNMT
OID20976	P78423	CX3CL1
OID20977	Q8WWN9	IPCEF1
OID20978	P02771	AFP
OID20979	O15232	MATN3
OID20980	Q9NPH6	OBP2B
OID20981	O14763	TNFRSF10B
OID20982	O15197	EPHB6
OID20983	P01258	CALCA
OID20984	Q8N474	SFRP1
OID20985	Q07011	TNFRSF9
OID20986	Q9H477	RBKS
OID20987	P56279	TCL1A
OID20988	P08962	CD63
OID20989	Q9UL46	PSME2
OID20990	P07306	ASGR1
OID20992	Q9BYC5	FUT8
OID20993	Q99426	TBCB
OID20994	P12644	BMP4
OID20995	P28325	CST5
OID20996	Q9NR71	ASAH2
OID20997	P10145	CXCL8
OID20998	Q96GW7	BCAN
OID20999	P37023	ACVRL1
OID21000	P23588	EIF4B
OID21001	Q9P0K1	ADAM22
OID21002	O15496	PLA2G10
OID21003	Q9BS40	LXN
OID21004	P13500	CCL2
OID21005	P55291	CDH15
OID21006	O94779	CNTN5
OID21007	Q9HCK4	ROBO2
OID21008	P22223	CDH3
OID21009	Q08345	DDR1
OID21010	Q08708	CD300C
OID21011	P15151	PVR
OID21012	Q8NBS9	TXNDC5
OID21013	P21217_Q11128	FUT3_FUT5
OID21014	P52823	STC1
OID21015	Q9H446	RWDD1
OID21016	Q9NP79	VTA1
OID21017	P15311	EZR
OID21018	P01732	CD8A
OID21019	P22894	MMP8
OID21020	Q92854	SEMA4D
OID21021	O14737	PDCD5
OID21022	Q9UNZ2	NSFL1C
OID21023	P35237	SERPINB6
OID21024	O43927	CXCL13
OID21025	P28906	CD34
OID21026	P13611	VCAN
OID21027	Q96CD2	PPCDC
OID21028	P17405	SMPD1
OID21029	Q10589	BST2
OID21030	Q99731	CCL19
OID21031	P50225	SULT1A1
OID21032	Q8NBJ7	SUMF2
OID21033	P01236	PRL
OID21034	Q14739	LBR
OID21035	P13473	LAMP2
OID21036	P12429	ANXA3
OID21037	P06733	ENO1
OID21038	P05060	CHGB
OID21039	P78325	ADAM8
OID21040	P04233	CD74
OID21041	O00214	LGALS8
OID21042	O14625	CXCL11
OID21043	Q01469	FABP5
OID21044	Q6P4E1	GOLM2
OID21045	Q6NW40	RGMB
OID21046	P09104	ENO2
OID21047	P01178	OXT
OID21048	Q96GP6	SCARF2
OID21049	P28908	TNFRSF8
OID21050	P04216	THY1
OID21051	Q10588	BST1
OID21052	O75509	TNFRSF21
OID21053	Q9BRF8	CPPED1
OID21054	P14384	CPM
OID21055	O14594	NCAN
OID21056	P25774	CTSS
OID21057	Q16288	NTRK3
OID21058	Q6ZMJ2	SCARA5
OID21059	P30533	LRPAP1
OID21060	P48052	CPA2
OID21061	Q9P126	CLEC1B
OID21062	P14207	FOLR2
OID21063	P21757	MSR1
OID21064	P57087	JAM2
OID21065	Q96B86	RGMA
OID21066	O94907	DKK1
OID21067	Q9UBW5	BIN2
OID21068	O76076	CCN5
OID21070	P05067	APP
OID21071	P11215	ITGAM
OID21073	P14174	MIF
OID21074	Q15818	NPTX1
OID21075	P19440	GGT1
OID21076	P50895	BCAM
OID21078	Q9NZD4	AHSP
OID21079	Q02487	DSC2
OID21080	Q04900	CD164
OID21081	O60462	NRP2
OID21083	P08254	MMP3
OID21084	P23381	WARS
OID21085	Q14112	NID2
OID21087	P30086	PEBP1
OID21088	P30740	SERPINB1
OID21089	Q96F46	IL17RA
OID21090	Q86T13	CLEC14A
OID21091	Q9HCN6	GP6
OID21092	Q9P232	CNTN3
OID21093	P55103	INHBC
OID21094	Q96FE7	PIK3IP1
OID21095	O15394	NCAM2
OID21096	P23280	CA6
OID21097	P00995	SPINK1
OID21098	Q9UGT4	SUSD2
OID21099	Q14696	MESD
OID21100	P05164	MPO
OID21101	Q02747	GUCA2A
OID21102	P01833	PIGR
OID21103	P14780	MMP9
OID21104	P35442	THBS2
OID21105	Q13093	PLA2G7
OID21106	Q15155	NOMO1
OID21107	P22105	TNXB
OID21108	Q6YHK3	CD109
OID21109	O43278	SPINT1
OID21110	P14209	CD99
OID21111	Q96RD9	FCRL5
OID21112	Q9Y240	CLEC11A
OID21113	Q14126	DSG2
OID21114	P04179	SOD2
OID21115	Q9UKK9	NUDT5
OID21116	P14778	IL1R1
OID21117	Q8IWV2	CNTN4
OID21118	P63313	TMSB10
OID21119	Q8N6Q3	CD177
OID21120	Q5T2D2	TREML2
OID21121	Q99972	MYOC
OID21122	Q8TCZ2	CD99L2
OID21123	P20774	OGN
OID21124	P00749	PLAU
OID21126	Q9NPH3	IL1RAP
OID21127	O43505	B4GAT1
OID21128	P00352	ALDH1A1
OID21129	Q9UKJ1	PILRA
OID21130	Q6UXG3	CD300LG
OID21131	P16284	PECAM1
OID21132	P22749	GNLY
OID21133	P06734	FCER2
OID21134	Q08431	MFGE8
OID21135	Q16881	TXNRD1
OID21136	P16871	IL7R
OID21137	Q8TDQ0	HAVCR2
OID21139	P08648	ITGA5
OID21140	O15117	FYB1
OID21141	P30043	BLVRB
OID21142	Q969Z4	RELT
OID21143	P07108	DBI
OID21144	Q9Y279	VSIG4
OID21145	P20333	TNFRSF1B
OID21146	P11717	IGF2R
OID21147	Q99727	TIMP4
OID21148	Q9NQ38	SPINK5
OID21149	P00918	CA2
OID21150	P17538	CTRB1
OID21151	Q9Y624	F11R
OID21153	Q6UXH9	PAMR1
OID21154	P04155	TFF1
OID21155	P19438	TNFRSF1A
OID21156	P04118	CLPS
OID21157	O76061	STC2
OID21158	P22692	IGFBP4
OID21159	P28799	GRN
OID21160	Q99497	PARK7
OID21161	P22307	SCP2
OID21162	Q6NXT1	ANKRD54
OID21163	Q7Z6M1	RABEPK
OID21165	Q8IWL2	SFTPA1
OID21166	P54727	RAD23B
OID21167	Q92982	NINJ1
OID21168	P01242	GH2
OID21169	Q6PGN9	PSRC1
OID21170	O14662	STX16
OID21171	P06731	CEACAM5
OID21172	O60828	PQBP1
OID21173	A4D1B5	GSAP
OID21174	Q7LG56	RRM2B
OID21175	O14964	HGS
OID21176	Q9P0J1	PDP1
OID21177	P49788	RARRES1
OID21178	O75787	ATP6AP2
OID21179	Q9H4P4	RNF41
OID21182	Q8N5S9	CAMKK1
OID21183	Q9NRA1	PDGFC
OID21184	P35813	PPM1A
OID21185	P43629	KIR3DL1
OID21186	Q08AG7	MZT1
OID21187	P31350	RRM2
OID21188	P41586	ADCYAP1R1
OID21189	Q8NBZ7	UXS1
OID21191	Q9NS15	LTBP3
OID21192	P39748	FEN1
OID21193	Q6BAA4	FCRLB
OID21194	P50749	RASSF2
OID21195	O75493	CA11
OID21196	P43628	KIR2DL3
OID21197	Q9Y243	AKT3
OID21198	P21810	BGN
OID21199	P35070	BTC
OID21200	P48643	CCT5
OID21202	Q07960	ARHGAP1
OID21203	P46060	RANGAP1
OID21204	Q7Z434	MAVS
OID21205	Q05516	ZBTB16
OID21207	P07332	FES
OID21208	P34130	NTF4
OID21209	Q96NB1	CEP20
OID21210	O15116	LSM1
OID21211	Q9Y265	RUVBL1
OID21212	O00221	NFKBIE
OID21213	Q9UKS7	IKZF2
OID21214	Q9P0V8	SLAMF8
OID21215	P31994	FCGR2B
OID21216	Q3B7J2	GFOD2
OID21218	Q8IWL1	SFTPA2
OID21219	O43752	STX6
OID21220	O60907	TBL1X
OID21221	P25786	PSMA1
OID21222	Q9UQQ2	SH2B3
OID21224	O75380	NDUFS6
OID21225	O75569	PRKRA
OID21226	O95786	DDX58
OID21227	P43490	NAMPT
OID21228	Q6EIG7	CLEC6A
OID21229	Q9Y2Z0	SUGT1
OID21230	Q8WUX2	CHAC2
OID21231	Q9Y223	GNE
OID21232	P04637	TP53
OID21233	Q06787	FMR1
OID21234	P55008	AIF1
OID21235	Q9Y639	NPTN
OID21236	Q9BUE0	MED18
OID21237	P01375	TNF
OID21238	P30260	CDC27
OID21240	O00186	STXBP3
OID21241	Q6P2H3	CEP85
OID21242	Q16772	GSTA3
OID21243	Q8TD06	AGR3
OID21244	P15121	AKR1B1
OID21245	P40198	CEACAM3
OID21246	Q8WYN0	ATG4A
OID21247	P14136	GFAP
OID21248	P01229	LHB
OID21249	Q9BSW2	CRACR2A
OID21250	Q9UQB8	BAIAP2
OID21252	Q9UHF1	EGFL7
OID21253	Q99683	MAP3K5
OID21254	Q96DU3	SLAMF6
OID21256	P35637	FUS
OID21257	P06850	CRH
OID21258	Q8IUK5	PLXDC1
OID21259	P55789	GFER
OID21260	Q9Y5L3	ENTPD2
OID21261	P0CG37	CFC1
OID21262	Q96PQ0	SORCS2
OID21263	P01275	GCG
OID21264	Q9NX58	LYAR
OID21265	P10747	CD28
OID21266	O60760	HPGDS
OID21267	Q13145	BAMBI
OID21268	O14713	ITGB1BP1
OID21269	P09110	ACAA1
OID21270	P51580	TPMT
OID21271	O43524	FOXO3
OID21272	P36888	FLT3
OID21273	Q9BQ51	PDCD1LG2
OID21274	P08069	IGF1R
OID21275	Q8TE58	ADAMTS15
OID21276	P05231	IL6
OID21277	P51692	STAT5B
OID21279	Q9UHD8	SEPTIN9
OID21280	P00519	ABL1
OID21281	Q5VIR6	VPS53
OID21282	Q9BYE9	CDHR2
OID21283	P61218	POLR2F
OID21284	Q86WD7	SERPINA9
OID21285	Q9Y6A5	TACC3
OID21286	Q9NUY8	TBC1D23
OID21287	O95831	AIFM1
OID21289	Q6UXD5	SEZ6L2
OID21290	Q7L5N7	LPCAT2
OID21291	Q9UKR3	KLK13
OID21292	Q9GZY6	LAT2
OID21293	Q07954	LRP1
OID21295	P55273	CDKN2D
OID21296	P05783	KRT18
OID21297	P10606	COX5B
OID21298	Q9UJ71	CD207
OID21299	O94760	DDAH1
OID21301	P17948	FLT1
OID21302	O75695	RP2
OID21303	Q9Y662	HS3ST3B1
OID21304	O00233	PSMD9
OID21305	Q9H4A9	DPEP2
OID21306	P05937	CALB1
OID21307	P08473	MME
OID21308	P50583	NUDT2
OID21309	Q9HAV7	GRPEL1
OID21310	O95498	VNN2
OID21311	Q9BTE6	AARSD1
OID21312	O75054	IGSF3
OID21314	O15357	INPPL1
OID21315	P18627	LAG3
OID21316	P28907	CD38
OID21317	Q8N129	CNPY4
OID21318	Q49AH0	CDNF
OID21319	P38936	CDKN1A
OID21320	Q96EK5	KIFBP
OID21321	Q7Z5A7	TAFA5
OID21322	Q11201	ST3GAL1
OID21323	Q96RT1	ERBIN
OID21324	P37108	SRP14
OID21325	Q86SJ6	DSG4
OID21326	Q12846	STX4
OID21327	P29459_P29460	IL12A_IL12B
OID21328	Q8IX05	CD302
OID21329	Q9C0C4	SEMA4C
OID21330	O00451	GFRA2
OID21331	P15848	ARSB
OID21332	O14828	SCAMP3
OID21333	Q8N386	LRRC25
OID21334	Q13561	DCTN2
OID21335	P55039	DRG2
OID21336	Q9BSL1	UBAC1
OID21337	Q14241	ELOA
OID21338	Q9BS26	ERP44
OID21339	Q96I82	KAZALD1
OID21340	Q6UWW8	CES3
OID21341	Q9Y5K8	ATP6V1D
OID21342	P29317	EPHA2
OID21343	Q9BSG5	RTBDN
OID21344	O43570	CA12
OID21345	P49441	INPP1
OID21346	P07949	RET
OID21347	Q9Y570	PPME1
OID21348	P07947	YES1
OID21349	Q8N9I9	DTX3
OID21350	P07948	LYN
OID21351	O75144	ICOSLG
OID21352	P23515	OMG
OID21353	Q99717	SMAD5
OID21354	P42658	DPP6
OID21355	Q8NEZ2	VPS37A
OID21356	O60825	PFKFB2
OID21357	P15514	AREG
OID21358	O00592	PODXL
OID21359	Q7Z5R6	APBB1IP
OID21360	Q9NZT2	OGFR
OID21361	Q13576	IQGAP2
OID21362	Q9UBM4	OPTC
OID21363	P25685	DNAJB1
OID21364	P98073	TMPRSS15
OID21365	P50120	RBP2
OID21366	O00748	CES2
OID21367	O60763	USO1
OID21368	O00622	CCN1
OID21369	P82980	RBP5
OID21371	Q86SR1	GALNT10
OID21372	P58499	FAM3B
OID21373	O15263	DEFB4A_DEFB4B
OID21374	P80511	S100A12
OID21375	Q8IXJ6	SIRT2
OID21376	Q99795	GPA33
OID21377	Q86SF2	GALNT7
OID21378	Q8WXI7	MUC16
OID21379	Q02742	GCNT1
OID21380	Q13421	MSLN
OID21381	Q7Z5L0	VMO1
OID21382	Q99536	VAT1
OID21383	P05187	ALPP
OID21384	Q16653	MOG
OID21385	P08397	HMBS
OID21386	Q9NTU7	CBLN4
OID21387	Q9P1Z2	CALCOCO1
OID21388	P01303	NPY
OID21390	Q9Y336	SIGLEC9
OID21391	Q9Y5K2	KLK4
OID21392	P16870	CPE
OID21393	P26010	ITGB7
OID21394	O43699	SIGLEC6
OID21395	Q9UJM8	HAO1
OID21396	Q15116	PDCD1
OID21397	Q9H6S3	EPS8L2
OID21398	P47992	XCL1
OID21399	Q14203	DCTN1
OID21400	P13521	SCG2
OID21401	Q9ULX7	CA14
OID21402	Q9NSA1	FGF21
OID21403	O43715	TRIAP1
OID21404	P30041	PRDX6
OID21405	O60911	CTSV
OID21406	P47929	LGALS7_LGALS7B
OID21407	Q9P0G3	KLK14
OID21408	O14558	HSPB6
OID21409	Q9H156	SLITRK2
OID21410	Q9C005	DPY30
OID21411	Q9GZV9	FGF23
OID21413	P02760	AMBP
OID21414	Q14790	CASP8
OID21415	Q9BXY4	RSPO3
OID21416	P06756	ITGAV
OID21417	Q16790	CA9
OID21418	Q496F6	CD300E
OID21419	Q9H6B4	CLMP
OID21420	P20472	PVALB
OID21421	Q6PCB0	VWA1
OID21422	Q96D42	HAVCR1
OID21423	Q10471	GALNT2
OID21424	Q9BZR6	RTN4R
OID21425	Q96I15	SCLY
OID21426	Q02246	CNTN2
OID21427	Q9UBG3	CRNN
OID21428	P98082	DAB2
OID21429	Q96JA1	LRIG1
OID21430	P10145	CXCL8
OID21431	P40121	CAPG
OID21432	Q9NPH0	ACP6
OID21433	P09105	HBQ1
OID21434	P27695	APEX1
OID21435	Q9H3G5	CPVL
OID21436	Q96NA2	RILP
OID21437	P50579	METAP2
OID21438	P35052	GPC1
OID21439	P39900	MMP12
OID21440	P13726	F3
OID21441	O60243	HS6ST1
OID21442	Q16595	FXN
OID21443	Q2VWP7	PRTG
OID21444	O95388	CCN4
OID21445	P05089	ARG1
OID21446	Q9NS68	TNFRSF19
OID21447	P09758	TACSTD2
OID21448	P80303	NUCB2
OID21449	P06127	CD5
OID21450	Q6UWN8	SPINK6
OID21451	Q9HAV5	EDA2R
OID21452	P09960	LTA4H
OID21453	Q00796	SORD
OID21454	O00292	LEFTY2
OID21455	P51858	HDGF
OID21456	P16562	CRISP2
OID21457	P56159	GFRA1
OID21458	P62166	NCS1
OID21459	Q16775	HAGH
OID21460	P32926	DSG3
OID21461	Q9H4F8	SMOC1
OID21462	Q8WWY7	WFDC12
OID21463	O15123	ANGPT2
OID21464	Q9Y5W5	WIF1
OID21465	Q99075	HBEGF
OID21466	P80075	CCL8
OID21467	P35318	ADM
OID21468	P35475	IDUA
OID21469	Q8TDQ1	CD300LF
OID21470	Q16543	CDC37
OID21471	O43464	HTRA2
OID21472	P20138	CD33
OID21473	Q8NCC3	PLA2G15
OID21474	Q96PD2	DCBLD2
OID21475	O14974	PPP1R12A
OID21476	O00244	ATOX1
OID21478	P21802	FGFR2
OID21479	Q96SM3	CPXM1
OID21480	Q7Z4W1	DCXR
OID21481	P20851	C4BPB
OID21482	Q9NP84	TNFRSF12A
OID21483	P29017	CD1C
OID21484	P32004	L1CAM
OID21486	P41271	NBL1
OID21487	Q9NZ53	PODXL2
OID21488	Q9BYH1	SEZ6L
OID21489	P21741	MDK
OID21490	Q96NY8	NECTIN4
OID21491	P35916	FLT4
OID21492	Q9H8J5	MANSC1
OID21494	Q92832	NELL1
OID21495	Q96J42	TXNDC15
OID21496	Q02763	TEK
OID21497	P35968	KDR
OID21498	P21589	NT5E
OID21499	P06870	KLK1
OID21500	Q9UBX1	CTSF
OID21501	Q6FI81	CIAPIN1
OID21502	Q9UP79	ADAMTS8
OID21503	Q9HAT2	SIAE
OID21504	P78552	IL13RA1
OID21505	Q14508	WFDC2
OID21506	O95721	SNAP29
OID21507	Q14512	FGFBP1
OID21509	P07237	P4HB
OID21510	Q15303	ERBB4
OID21511	P09486	SPARC
OID21512	P48307	TFPI2
OID21513	Q9UJ68	MSRA
OID21514	P09958	FURIN
OID21515	O75629	CREG1
OID21516	P01298	PPY
OID21517	O60259	KLK8
OID21518	Q9UBX7	KLK11
OID21519	P26447	S100A4
OID21520	P04626	ERBB2
OID21521	P12931	SRC
OID21522	P18084	ITGB5
OID21523	O43240	KLK10
OID21524	P49767	VEGFC
OID21525	O00548	DLL1
OID21526	Q92876	KLK6
OID21527	P26842	CD27
OID21528	P13688	CEACAM1
OID21529	P15328	FOLR1
OID21530	O95274	LYPD3
OID21531	Q16674	MIA
OID30049	Q8IZC4	RTKN2
OID30050	P78524	DENND2B
OID30051	Q9H2M3	BHMT2
OID30052	P55769	SNU13
OID30053	Q9Y2W1	THRAP3
OID30054	O43734	TRAF3IP2
OID30055	O00567	NOP56
OID30056	Q15477	SKIV2L
OID30057	P25391	LAMA1
OID30058	P06753	TPM3
OID30059	P48507	GCLM
OID30060	Q9NZJ5	EIF2AK3
OID30061	Q9Y623	MYH4
OID30062	P23634	ATP2B4
OID30063	O14958	CASQ2
OID30064	O95180	CACNA1H
OID30065	P54709	ATP1B3
OID30066	Q13503	MED21
OID30067	P08913	ADRA2A
OID30068	P49755	TMED10
OID30069	Q96DA2	RAB39B
OID30070	P46783	RPS10
OID30071	O00291	HIP1
OID30072	P04141	CSF2
OID30074	A6NCE7	MAP1LC3B2
OID30075	Q9Y3B8	REXO2
OID30076	Q6UWF7	NXPE4
OID30077	P55011	SLC12A2
OID30078	P10109	FDX1
OID30079	P30049	ATP5F1D
OID30080	P33121	ACSL1
OID30081	O60701	UGDH
OID30082	Q9BY32	ITPA
OID30083	Q01780	EXOSC10
OID30084	Q08499	PDE4D
OID30085	P21817	RYR1
OID30086	Q96HD9	ACY3
OID30087	P35228	NOS2
OID30088	E2RYF7	HCG22
OID30089	Q9NVZ3	NECAP2
OID30090	Q9Y4C8	RBM19
OID30091	Q07973	CYP24A1
OID30092	Q04695	KRT17
OID30093	Q15059	BRD3
OID30094	B6SEH8	ERVV-1
OID30095	O95858	TSPAN15
OID30096	Q9H347	UBQLN3
OID30097	P06729	CD2
OID30098	Q96IW2	SHD
OID30099	A6BM72	MEGF11
OID30100	Q9UKX7	NUP50
OID30101	Q96LB8	PGLYRP4
OID30102	Q9NV35	NUDT15
OID30103	Q10587	TEF
OID30104	Q13296	SCGB2A2
OID30105	P20929	NEB
OID30106	Q5TA50	CPTP
OID30107	Q86UW2	SLC51B
OID30108	Q8WZ42	TTN
OID30109	Q9UFP1	GASK1A
OID30110	Q99707	MTR
OID30111	P21673	SAT1
OID30112	O00425	IGF2BP3
OID30113	O43290	SART1
OID30114	Q92935	EXTL1
OID30115	Q8N8E3	CEP112
OID30116	P16066	NPR1
OID30117	Q6NZY4	ZCCHC8
OID30118	P14415	ATP1B2
OID30119	Q96K76	USP47
OID30120	P05976	MYL1
OID30121	Q9Y2Y0	ARL2BP
OID30122	Q14088	RAB33A
OID30123	P38935	IGHMBP2
OID30124	P05026	ATP1B1
OID30125	O15305	PMM2
OID30126	Q9BW61	DDA1
OID30127	Q15370	ELOB
OID30128	Q8NET8	TRPV3
OID30129	P05000	IFNW1
OID30130	Q15018	ABRAXAS2
OID30131	P54296	MYOM2
OID30132	Q16836	HADH
OID30133	Q14353	GAMT
OID30134	P23511	NFYA
OID30135	Q07075	ENPEP
OID30137	Q02127	DHODH
OID30138	P57078	RIPK4
OID30139	Q6ZN66	GBP6
OID30140	Q9BZL6	PRKD2
OID30141	A6NHS7	MANSC4
OID30142	O75521	ECI2
OID30143	P12270	TPR
OID30145	P37058	HSD17B3
OID30146	Q9BZC7	ABCA2
OID30147	Q6P4F2	FDX2
OID30148	Q16774	GUK1
OID30149	Q9UNN8	PROCR
OID30150	P10082	PYY
OID30151	O15018	PDZD2
OID30152	Q16206	ENOX2
OID30153	P0C7L1	SPINK8
OID30154	Q7Z7H5	TMED4
OID30155	Q9Y2L6	FRMD4B
OID30156	P55010	EIF5
OID30157	Q01581	HMGCS1
OID30158	Q12986	NFX1
OID30159	P22033	MMUT
OID30160	P19838	NFKB1
OID30161	Q01484	ANK2
OID30162	P59901	LILRA4
OID30163	O43896	KIF1C
OID30164	Q03013	GSTM4
OID30165	O94766	B3GAT3
OID30167	O95670	ATP6V1G2
OID30169	P48668	KRT6C
OID30170	P00966	ASS1
OID30171	Q96PU4	UHRF2
OID30172	P20382	PMCH
OID30173	P35606	COPB2
OID30174	P13224	GP1BB
OID30175	Q14807	KIF22
OID30176	P50461	CSRP3
OID30177	Q14781	CBX2
OID30178	Q96A35	MRPL24
OID30179	Q58F21	BRDT
OID30180	Q96EU7	C1GALT1C1
OID30181	Q5VVQ6	YOD1
OID30182	A6NDB9	PALM3
OID30183	O75534	CSDE1
OID30184	Q13563	PKD2
OID30185	Q99598	TSNAX
OID30186	Q86VP3	PACS2
OID30187	Q5W0V3	FHIP2A
OID30188	P41227	NAA10
OID30189	Q86VR7	VSIG10L
OID30190	Q93052	LPP
OID30191	O75427	LRCH4
OID30192	P35609	ACTN2
OID30193	P32241	VIPR1
OID30194	Q8ND90	PNMA1
OID30195	Q5JTV8	TOR1AIP1
OID30196	Q9UBV2	SEL1L
OID30197	P46926	GNPDA1
OID30198	Q8NFP7	NUDT10
OID30199	Q14324	MYBPC2
OID30200	P35520	CBS
OID30201	O14841	OPLAH
OID30202	Q8WXC3	PYDC1
OID30203	O43423	ANP32C
OID30204	Q9BQI0	AIF1L
OID30205	Q8TER0	SNED1
OID30206	Q9BTK6	PAGR1
OID30207	Q9H173	SIL1
OID30208	P20645	M6PR
OID30209	P13929	ENO3
OID30210	Q96ID5	IGSF21
OID30211	P23327	HRC
OID30212	P29536	LMOD1
OID30213	Q13316	DMP1
OID30214	P35914	HMGCL
OID30215	Q9Y5X3	SNX5
OID30216	Q14643	ITPR1
OID30217	Q99807	COQ7
OID30218	Q99942	RNF5
OID30219	P36776	LONP1
OID30220	Q14457	BECN1
OID30221	I3L3R5	CCER2
OID30222	Q8N668	COMMD1
OID30223	P11532	DMD
OID30224	P05305	EDN1
OID30225	Q14160	SCRIB
OID30226	Q8WZ75	ROBO4
OID30227	P55809	OXCT1
OID30228	Q9BY49	PECR
OID30229	Q9NZN3	EHD3
OID30230	P14902	IDO1
OID30231	Q96C92	ENTR1
OID30232	O75506	HSBP1
OID30233	P01225	FSHB
OID30234	O95980	RECK
OID30235	Q8NC42	RNF149
OID30236	Q9H7C9	AAMDC
OID30237	Q8TAE8	GADD45GIP1
OID30238	Q5GAN6	RNASE10
OID30239	P30084	ECHS1
OID30240	Q5SW79	CEP170
OID30241	P50053	KHK
OID30242	O75348	ATP6V1G1
OID30243	Q53T59	HS1BP3
OID30244	Q8IVF2	AHNAK2
OID30245	P12829	MYL4
OID30246	Q0VD83	APOBR
OID30247	O75061	DNAJC6
OID30248	Q8WUF8	FAM172A
OID30249	Q13137	CALCOCO2
OID30250	P58107	EPPK1
OID30251	P08590	MYL3
OID30252	Q86X76	NIT1
OID30253	P0DPI2	GATD3
OID30254	Q12841	FSTL1
OID30255	Q9NR61	DLL4
OID30256	Q6YN16	HSDL2
OID30257	Q6ZRY4	RBPMS2
OID30258	P43487	RANBP1
OID30259	Q92835	INPP5D
OID30260	Q09666	AHNAK
OID30261	Q9NYZ4	SIGLEC8
OID30262	O60476	MAN1A2
OID30263	P07355	ANXA2
OID30264	P07492	GRP
OID30266	P07098	LIPF
OID30267	Q9H3K6	BOLA2_BOLA2B
OID30268	Q16621	NFE2
OID30269	O94979	SEC31A
OID30270	P20042	EIF2S2
OID30271	Q9UJ70	NAGK
OID30272	O95825	CRYZL1
OID30273	Q6UWR7	ENPP6
OID30274	Q9BV79	MECR
OID30275	Q6UY14	ADAMTSL4
OID30276	Q5FWE3	PRRT3
OID30277	Q8IWT1	SCN4B
OID30278	Q9HB40	SCPEP1
OID30279	Q96DR5	BPIFA2
OID30280	P07942	LAMB1
OID30281	Q8NFL0	B3GNT7
OID30282	P01189	POMC
OID30283	Q7L266	ASRGL1
OID30284	P50914	RPL14
OID30285	P09543	CNP
OID30286	P02458	COL2A1
OID30287	Q24JP5	TMEM132A
OID30288	P09681	GIP
OID30289	Q9UBQ7	GRHPR
OID30290	Q9BVM4	GGACT
OID30291	P33681	CD80
OID30292	Q12982	BNIP2
OID30293	Q96DC8	ECHDC3
OID30294	Q8TCD5	NT5C
OID30295	Q7Z7M9	GALNT5
OID30296	Q00872	MYBPC1
OID30297	Q14914	PTGR1
OID30298	Q6UW49	SPESP1
OID30299	P51511	MMP15
OID30300	P08138	NGFR
OID30301	P15502	ELN
OID30302	Q8NDI1	EHBP1
OID30303	O43681	GET3
OID30304	O75223	GGCT
OID30305	O43405	COCH
OID30306	Q9Y2E5	MAN2B2
OID30307	P02008	HBZ
OID30308	P23919	DTYMK
OID30309	Q7Z304	MAMDC2
OID30310	P78539	SRPX
OID30311	Q8N4F0	BPIFB2
OID30312	P54687	BCAT1
OID30313	Q969H8	MYDGF
OID30314	Q96EM0	L3HYPDH
OID30315	Q9BXN1	ASPN
OID30316	Q13428	TCOF1
OID30317	P14854	COX6B1
OID30318	P16035	TIMP2
OID30319	P53674	CRYBB1
OID30320	O14960	LECT2
OID30321	O14933	UBE2L6
OID30322	Q8N436	CPXM2
OID30323	Q13442	PDAP1
OID30324	P23467	PTPRB
OID30325	O75154	RAB11FIP3
OID30326	Q6NUS6	TCTN3
OID30327	Q96FZ7	CHMP6
OID30328	P98161	PKD1
OID30329	Q9BXD5	NPL
OID30330	Q9P2J2	IGSF9
OID30331	Q9BW04	SARG
OID30332	Q8WWV6	FCAMR
OID30333	O75711	SCRG1
OID30334	Q6UXI7	VIT
OID30335	P29692	EEF1D
OID30336	Q9NQR4	NIT2
OID30337	Q9BQS7	HEPH
OID30338	Q9H3S4	TPK1
OID30339	Q96C24	SYTL4
OID30340	O60234	GMFG
OID30341	P51688	SGSH
OID30342	Q969X0	RILPL2
OID30343	P23471	PTPRZ1
OID30344	P52209	PGD
OID30345	P32320	CDA
OID30347	P08582	MELTF
OID30348	Q96MK3	FAM20A
OID30349	Q8IZF2	ADGRF5
OID30350	P49593	PPM1F
OID30351	P05413	FABP3
OID30352	Q9UBR1	UPB1
OID30353	Q15388	TOMM20
OID30354	O00194	RAB27B
OID30355	Q6ZMM2	ADAMTSL5
OID30356	P45954	ACADSB
OID30357	P61026	RAB10
OID30358	P62072	TIMM10
OID30359	P07093	SERPINE2
OID30360	Q7Z7K0	CMC1
OID30361	Q96AG4	LRRC59
OID30362	P40199	CEACAM6
OID30363	P16410	CTLA4
OID30365	Q6H9L7	ISM2
OID30366	Q9Y303	AMDHD2
OID30367	P13796	LCP1
OID30370	Q86TH1	ADAMTSL2
OID30372	P30046	DDT
OID30373	P23560	BDNF
OID30374	Q9NRR1	CYTL1
OID30375	P13667	PDIA4
OID30377	Q02817	MUC2
OID30378	P98095	FBLN2
OID30379	P02461	COL3A1
OID30380	P08575	PTPRC
OID30381	P13727	PRG2
OID30382	P35579	MYH9
OID30383	Q9Y2Y8	PRG3
OID30384	P32971	TNFSF8
OID30385	P30405	PPIF
OID30386	Q6IBS0	TWF2
OID30387	Q8N114	SHISA5
OID30388	O43280	TREH
OID30389	P02818	BGLAP
OID30390	P47972	NPTX2
OID30391	Q96NZ9	PRAP1
OID30393	Q96CG8	CTHRC1
OID30394	Q9HCU0	CD248
OID30395	Q9BYJ0	FGFBP2
